X;Y;Z
-0,4592653;-0,05;0,1627915
-0,4592653;-0,05;0,1627915
-0,4592628;-0,05;0,162812
-0,4592882;-0,05;0,162804
-0,4592933;-0,05;0,1627631
-0,4592907;-0,05;0,1627835
-0,4592882;-0,05;0,162804
-0,4592907;-0,05;0,1627835
-0,4592907;-0,05;0,1627835
-0,4592907;-0,05;0,1627835
-0,4592907;-0,05;0,1627835
-0,4592869;-0,05;0,1627897
-0,4592844;-0,05;0,1628102
-0,4592907;-0,05;0,1627835
-0,4592907;-0,05;0,1627835
-0,4592869;-0,05;0,1627897
-0,4592844;-0,05;0,1628102
-0,4592882;-0,05;0,162804
-0,4592844;-0,05;0,1628102
-0,4592869;-0,05;0,1627897
-0,4592933;-0,05;0,1627631
-0,4592844;-0,05;0,1628102
-0,4593137;-0,05;0,162796
-0,4592844;-0,05;0,1628102
-0,4592882;-0,05;0,162804
-0,4592869;-0,05;0,1627897
-0,4592844;-0,05;0,1628102
-0,4592933;-0,05;0,1627631
-0,4592933;-0,05;0,1627631
-0,4592869;-0,05;0,1627897
-0,4592844;-0,05;0,1628102
-0,4592869;-0,05;0,1627897
-0,4592844;-0,05;0,1628102
-0,4593123;-0,05;0,1627818
-0,4592869;-0,05;0,1627897
-0,4592882;-0,05;0,162804
-0,4592869;-0,05;0,1627897
-0,4592869;-0,05;0,1627897
-0,4592869;-0,05;0,1627897
-0,4592907;-0,05;0,1627835
-0,4592844;-0,05;0,1628102
-0,4592869;-0,05;0,1627897
-0,4592907;-0,05;0,1627835
-0,4592907;-0,05;0,1627835
-0,4592895;-0,05;0,1627693
-0,4592933;-0,05;0,1627631
-0,4592869;-0,05;0,1627897
-0,4592869;-0,05;0,1627897
-0,4592857;-0,05;0,1628245
-0,4592907;-0,05;0,1627835
-0,4592895;-0,05;0,1627693
-0,4593162;-0,05;0,1627756
-0,4593162;-0,05;0,1627756
-0,4593123;-0,05;0,1627818
-0,4593123;-0,05;0,1627818
-0,4593123;-0,05;0,1627818
-0,4593149;-0,05;0,1627613
-0,4593123;-0,05;0,1627818
-0,4592844;-0,05;0,1628102
-0,4592869;-0,05;0,1627897
-0,4592907;-0,05;0,1627835
-0,4592869;-0,05;0,1627897
-0,4593149;-0,05;0,1627613
-0,4592895;-0,05;0,1627693
