X,Y,Z
-0,1800029;-0,6241918;-0,1156891
-0,1800029;-0,6241918;-0,1156891
-0,1884557;-0,6326316;-0,1129303
-0,1884557;-0,6326316;-0,1129303
-0,1967341;-0,6339194;-0,1019653
-0,1969061;-0,6410705;-0,1101669
-0,1969061;-0,6410705;-0,1101669
-0,2054098;-0,6410705;-0,1099869
-0,2138569;-0,6495082;-0,1072113
-0,2138569;-0,6495082;-0,1072113
-0,2221197;-0,6507873;-0,09623566
-0,2221197;-0,6507873;-0,09623566
-0,2303148;-0,6604897;-0,08265839
-0,1964884;-0,6689164;-0,08026429
-0,2387801;-0,6689164;-0,07976837
-0,2470138;-0,6701779;-0,06877594
-0,2555004;-0,6701779;-0,06857147
-0,2555004;-0,6701779;-0,06857147
-0,2639226;-0,6785993;-0,06576081
-0,2129064;-0,679852;-0,05558319
-0,2638843;-0,6870196;-0,06304627
-0,2720932;-0,6882678;-0,05203858
-0,2805729;-0,6882678;-0,05182038
-0,2805053;-0,6966826;-0,04921112
-0,2382341;-0,6966826;-0,04963074
-0,2887153;-0,6979222;-0,03807831
-0,2974112;-0,7050965;-0,04602966
-0,3055909;-0,7063316;-0,03500366
-0,2633141;-0,7063316;-0,03542786
-0,3053034;-0,7075621;-0,024086
-0,3136972;-0,7159662;-0,02122955
-0,2714151;-0,7159662;-0,02166443
-0,3218575;-0,717188;-0,01006012
-0,2798129;-0,724369;-0,01867981
-0,2878775;-0,7339839;-0,00489502
-0,3386277;-0,7339839;-0,004032898
-0,3382947;-0,7351924;0,00676117
-0,2959195;-0,7435843;0,008911133
-0,3463218;-0,7447843;0,02059174
-0,3040233;-0,7447843;0,0201004
-0,3556595;-0,7440996;-0,04092407
-0,3041199;-0,7516589;0,01210022
-0,3544803;-0,75285;0,02382202
-0,2363442;-0,7545462;-0,01785278
-0,3705789;-0,7704547;0,04095154
-0,3283177;-0,7704547;0,04038696
-0,3786075;-0,7716237;0,05220184
-0,32782;-0,7799894;0,05395966
-0,3362238;-0,7799894;0,05440216
-0,3784675;-0,7799894;0,05515747
-0,3369966;-0,7721316;0,0007690452
-0,3866656;-0,7796466;0,05566406
-0,3355963;-0,7808024;0,06551056
-0,3024928;-0,7813131;0,01418915
