x,y,z
0,1246522;-0,05;-0,05006542
0,1241413;-0,05;-0,0518405
0,1234372;-0,05;-0,05225072
0,1218078;-0,05;-0,05433153
0,1201525;-0,05;-0,05647351
0,1184617;-0,05;-0,05795412
0,1152367;-0,05;-0,05924248
0,1134001;-0,05;-0,05996462
0,1109679;-0,05;-0,06197648
0,1081258;-0,05;-0,06346407
0,1060378;-0,05;-0,0653919
0,1042209;-0,05;-0,06597693
0,100092;-0,05;-0,0668468
0,09748701;-0,05;-0,06768718
0,09486888;-0,05;-0,06843566
0,09032492;-0,05;-0,06938446
0,08727784;-0,05;-0,06969689
0,08577261;-0,05;-0,07007789
0,08309697;-0,05;-0,07050319
0,08193582;-0,05;-0,07063056
0,08081509;-0,05;-0,07096352
0,07892783;-0,05;-0,07137853
0,07746021;-0,05;-0,07188803
0,07556693;-0,05;-0,07221343
0,07224932;-0,05;-0,07371365
0,07040053;-0,05;-0,074473
0,06892207;-0,05;-0,07536148
0,06632137;-0,05;-0,07677575
0,06561792;-0,05;-0,07766602
0,06410547;-0,05;-0,07822453
0,06108309;-0,05;-0,07919767
0,05958421;-0,05;-0,07969376
0,05653784;-0,05;-0,08028283
0,05348178;-0,05;-0,08102254
0,05081199;-0,05;-0,08142181
0,04891337;-0,05;-0,081927
0,04509382;-0,05;-0,0826174
0,04203641;-0,05;-0,0831576
0,03976548;-0,05;-0,08388491
0,03594952;-0,05;-0,08427655
0,03363099;-0,05;-0,08453481
0,03133164;-0,05;-0,08486318
0,02708446;-0,05;-0,08503202
0,02511803;-0,05;-0,08511121
0,022792;-0,05;-0,08520057
0,01892468;-0,05;-0,08532313
0,01585197;-0,05;-0,08540403
0,01392191;-0,05;-0,08544642
0,01085682;-0,05;-0,08567604
0,009709041;-0,05;-0,08591859
0,008174481;-0,05;-0,08610492
0,005091097;-0,05;-0,08690135
0,00353777;-0,05;-0,08714513
0,001606812;-0,05;-0,08739838
-0,0003456259;-0,05;-0,08779622
-0,002283064;-0,05;-0,08825421
-0,003839373;-0,05;-0,08886311
-0,006952499;-0,05;-0,08970642
-0,008513566;-0,05;-0,09008303
-0,01044395;-0,05;-0,09067
-0,01357233;-0,05;-0,09185441
-0,0151233;-0,05;-0,09221286
-0,01746742;-0,05;-0,09219038
-0,02173081;-0,05;-0,09234201
-0,0252464;-0,05;-0,09288897
-0,02797642;-0,05;-0,09282988
-0,03383011;-0,05;-0,09307434
-0,03577994;-0,05;-0,09317875
-0,03774646;-0,05;-0,09328529
-0,04088533;-0,05;-0,09342705
-0,04283501;-0,05;-0,0933774
-0,04517909;-0,05;-0,09350346
-0,04873472;-0,05;-0,09391157
-0,05148039;-0,05;-0,09417108
-0,05382394;-0,05;-0,09427472
-0,05891037;-0,05;-0,09433105
-0,06206525;-0,05;-0,09432513
-0,06482828;-0,05;-0,09440069
-0,06880057;-0,05;-0,09463592
-0,07037821;-0,05;-0,09469732
-0,07158636;-0,05;-0,09500758
-0,07326471;-0,05;-0,09655808
-0,07413686;-0,05;-0,09748948
-0,07456533;-0,05;-0,09806526
-0,0754514;-0,05;-0,09921426
-0,07588153;-0,05;-0,09977576
-0,07671022;-0,05;-0,1002413
-0,07955993;-0,05;-0,1012532
-0,08079211;-0,05;-0,1019134
-0,08203626;-0,05;-0,1025068
-0,08383117;-0,05;-0,1050383
-0,0843316;-0,05;-0,1061992
-0,0848236;-0,05;-0,1074171
-0,08543238;-0,05;-0,1096562
-0,08558007;-0,05;-0,1112702
-0,08573841;-0,05;-0,1129461
-0,08594964;-0,05;-0,1151487
-0,08603516;-0,05;-0,1162278
-0,08615829;-0,05;-0,1175428
-0,08632273;-0,05;-0,1193777
-0,08656218;-0,05;-0,1220753
-0,08665495;-0,05;-0,1230208
-0,08592021;-0,05;-0,1239665
-0,08603446;-0,05;-0,1256305
-0,08536153;-0,05;-0,1274341
-0,08359863;-0,05;-0,1303152
-0,08303094;-0,05;-0,1333036
-0,08156791;-0,05;-0,1352793
-0,07930526;-0,05;-0,1377112
-0,07732603;-0,05;-0,1387703
-0,07610542;-0,05;-0,1391098
-0,07363825;-0,05;-0,1392626
-0,07201885;-0,05;-0,1395753
-0,07040935;-0,05;-0,13968
-0,06679504;-0,05;-0,1409405
-0,06558476;-0,05;-0,1415767
-0,06478851;-0,05;-0,1418431
-0,06321181;-0,05;-0,1431977
-0,06201639;-0,05;-0,1436287
-0,05998249;-0,05;-0,1438759
-0,05753562;-0,05;-0,1439882
-0,05630419;-0,05;-0,1440389
-0,05590047;-0,05;-0,1444093
-0,05508012;-0,05;-0,1452011
-0,05467585;-0,05;-0,1455575
-0,05426986;-0,05;-0,1455799
-0,05386471;-0,05;-0,1459489
-0,05345856;-0,05;-0,145971
-0,0530464;-0,05;-0,1461988
-0,05142929;-0,05;-0,1466901
-0,0510291;-0,05;-0,146852
-0,0502253;-0,05;-0,1471056
-0,04859117;-0,05;-0,1477255
-0,04818933;-0,05;-0,1482189
-0,0473837;-0,05;-0,1487452
-0,04663958;-0,05;-0,1510019
-0,04583464;-0,05;-0,1517354
-0,04583444;-0,05;-0,1519961
-0,04509117;-0,05;-0,1544665
-0,04511954;-0,05;-0,1550946
-0,04521307;-0,05;-0,1575389
-0,04482708;-0,05;-0,1583062
-0,04488445;-0,05;-0,159683
-0,04449439;-0,05;-0,160793
-0,0441521;-0,05;-0,1621105
-0,04421099;-0,05;-0,1637013
-0,04379288;-0,05;-0,1641157
-0,04386809;-0,05;-0,1660277
-0,04311676;-0,05;-0,1683252
-0,04311867;-0,05;-0,1687713
-0,04280919;-0,05;-0,1711723
-0,04278724;-0,05;-0,171565
-0,04289929;-0,05;-0,1735287
-0,04209638;-0,05;-0,1756547
-0,04210597;-0,05;-0,1759096
-0,04174113;-0,05;-0,1774749
-0,04185025;-0,05;-0,1805
-0,04145488;-0,05;-0,1811073
-0,04152581;-0,05;-0,1830389
-0,04114212;-0,05;-0,1849429
-0,04116233;-0,05;-0,1855279
-0,04089221;-0,05;-0,1888666
-0,03840201;-0,05;-0,1918731
-0,03718756;-0,05;-0,1939515
-0,03593015;-0,05;-0,1954407
-0,03337664;-0,05;-0,1969347
-0,03125895;-0,05;-0,1990909
-0,02994618;-0,05;-0,1994307
-0,0273719;-0,05;-0,2005881
-0,02608176;-0,05;-0,2011864
-0,02431645;-0,05;-0,2023119
-0,02258299;-0,05;-0,2040804
-0,02127981;-0,05;-0,2045957
-0,0199933;-0,05;-0,2061719
-0,01913945;-0,05;-0,2077904
-0,01786059;-0,05;-0,2107052
-0,0165467;-0,05;-0,2111406
-0,01527099;-0,05;-0,2133309
-0,01480968;-0,05;-0,213882
-0,01393605;-0,05;-0,2153512
-0,01396288;-0,05;-0,2183309
-0,0134902;-0,05;-0,2183708
-0,01349852;-0,05;-0,2195772
-0,01307533;-0,05;-0,2216652
-0,01352997;-0,05;-0,2242434
-0,01354313;-0,05;-0,2261882
-0,01493999;-0,05;-0,2295059
-0,01585876;-0,05;-0,2311959
-0,01590071;-0,05;-0,2323312
-0,01818091;-0,05;-0,2329603
-0,0200552;-0,05;-0,2343882
-0,02141945;-0,05;-0,2353853
-0,02501706;-0,05;-0,2354453
